,Date
0,2011-07-15
1,2011-07-15
2,2011-07-15
3,2011-07-16
4,2011-07-16
5,2011-07-17
6,2011-07-17
7,2011-07-17
8,2011-07-18
9,2011-07-22
10,2011-07-22
11,2011-07-22
12,2011-07-23
13,2011-07-23
14,2011-07-24
15,2011-07-24
16,2011-07-24
17,2011-07-25
18,2011-08-05
19,2011-08-05
20,2011-08-05
21,2011-08-05
22,2011-08-06
23,2011-08-06
24,2011-08-06
25,2011-08-06
26,2011-08-06
27,2011-08-06
28,2011-08-06
29,2011-08-06
30,2011-08-07
31,2011-08-07
32,2011-08-07
33,2011-08-07
34,2011-08-07
35,2011-08-08
36,2011-08-12
37,2011-08-12
38,2011-08-12
39,2011-08-13
40,2011-08-13
41,2011-08-13
42,2011-08-13
43,2011-08-13
44,2011-08-13
45,2011-08-13
46,2011-08-13
47,2011-08-13
48,2011-08-13
49,2011-08-13
50,2011-08-13
51,2011-08-13
52,2011-08-13
53,2011-08-13
54,2011-08-14
55,2011-08-14
56,2011-08-14
57,2011-08-14
58,2011-08-14
59,2011-08-14
60,2011-08-14
61,2011-08-15
62,2011-08-15
63,2011-08-19
64,2011-08-19
65,2011-08-19
66,2011-08-19
67,2011-08-20
68,2011-08-20
69,2011-08-20
70,2011-08-20
71,2011-08-20
72,2011-08-20
73,2011-08-20
74,2011-08-20
75,2011-08-20
76,2011-08-20
77,2011-08-20
78,2011-08-20
79,2011-08-20
80,2011-08-20
81,2011-08-21
82,2011-08-21
83,2011-08-21
84,2011-08-21
85,2011-08-21
86,2011-08-21
87,2011-08-21
88,2011-08-21
89,2011-08-22
90,2011-08-22
91,2011-08-26
92,2011-08-26
93,2011-08-26
94,2011-08-26
95,2011-08-27
96,2011-08-27
97,2011-08-27
98,2011-08-27
99,2011-08-27
100,2011-08-27
101,2011-08-27
102,2011-08-27
103,2011-08-27
104,2011-08-27
105,2011-08-27
106,2011-08-27
107,2011-08-27
108,2011-08-27
109,2011-08-28
110,2011-08-28
111,2011-08-28
112,2011-08-28
113,2011-08-28
114,2011-08-28
115,2011-08-28
116,2011-08-28
117,2011-08-28
118,2011-08-29
119,2011-09-09
120,2011-09-09
121,2011-09-09
122,2011-09-09
123,2011-09-10
124,2011-09-10
125,2011-09-10
126,2011-09-10
127,2011-09-10
128,2011-09-10
129,2011-09-10
130,2011-09-10
131,2011-09-10
132,2011-09-10
133,2011-09-10
134,2011-09-10
135,2011-09-10
136,2011-09-10
137,2011-09-10
138,2011-09-11
139,2011-09-11
140,2011-09-11
141,2011-09-11
